snippet/title;title;thumbnail_link;hour_of_publish;week_day
Entertainment        ;Is Andy Cohen Or Anderson Cooper More Kinky In Bed? | WWHL                                          ;https://i.ytimg.com/vi/2--Pg-y3xNk/default.jpg       ;04                                                                                                  ;2
Theater & Animation  ;Deadpool 2: The Final Trailer                                                                       ;https://i.ytimg.com/vi/20bpjtCbCz0/default.jpg       ;12                                                                                                  ;5
Sports               ;First Take interviews Trae Young after he declares for NBA draft | First Take | ESPN                ;https://i.ytimg.com/vi/22iCU_bsApA/default.jpg       ;15                                                                                                  ;4
Entertainment        ;Best Videos of the Year 2017 | People Are Awesome                                                   ;https://i.ytimg.com/vi/23QOy9Q2qNI/default.jpg       ;13                                                                                                  ;6
Lifestyle            ;Controversial incomplete pass by Jesse James Steelers vs Patriots                                   ;https://i.ytimg.com/vi/25Uouf_9DUk/default.jpg       ;00                                                                                                  ;2
Entertainment        ;Jurassic World: Fallen Kingdom - Trailer Thursday (Run) (HD)                                        ;https://i.ytimg.com/vi/266EI7hdjFs/default.jpg       ;00                                                                                                  ;2
Theater & Animation  ;Airplane Dad: Part 1 - Cyanide & Happiness Shorts                                                   ;https://i.ytimg.com/vi/272qtYHyylk/default.jpg       ;06                                                                                                  ;5
Science & Politics   ;Short-term spending bill fails in the Senate                                                        ;https://i.ytimg.com/vi/2_dkBgK4Mbk/default.jpg       ;04                                                                                                  ;7
Sports               ;Landing the Triple Axel | Mirai Nagasu | US Figure Skating                                          ;https://i.ytimg.com/vi/2_fUmjfzh1Y/default.jpg       ;21                                                                                                  ;3
Science & Politics   ;Additional Remains Of Miami Gardens Soldier Recovered                                               ;https://i.ytimg.com/vi/2a52cBN9qOA/default.jpg       ;17                                                                                                  ;3
Theater & Animation  ;How to speak like Black Panther - BBC News                                                          ;https://i.ytimg.com/vi/2afSbqlp5HU/default.jpg       ;12                                                                                                  ;3
Lifestyle            ;MY PARENTS REACT TO POPPY                                                                           ;https://i.ytimg.com/vi/2aThW4BSdbQ/default.jpg       ;19                                                                                                  ;6
Science & Politics   ;Christian Evangelist Billy Graham Dies At 99 | Morning Joe | MSNBC                                  ;https://i.ytimg.com/vi/2B1sY4NecnI/default.jpg       ;14                                                                                                  ;4
Entertainment        ;Heathers Official Red Band Trailer | Premieres March 7th on Paramount Network                       ;https://i.ytimg.com/vi/2B85lYenaxE/default.jpg       ;20                                                                                                  ;5
